row_idx,node_id,seminar_number,seminar_name,seminar_keywords,seminar_classification
0,9033,9033,Tree Adjoining Grammars,,
1,9041,9041,Algorithmic Geometry,,
2,9110,9110,Parallel and Distributed Algorithms,,
3,9111,9111,"Concurrent Systems: Semantics, Specification, and Synthesis",,
4,9112,9112,Integration of Functional and Logic Programming,,
5,9116,9116,Algorithms and Complexity of Continuous Problems,,
6,9119,9119,Terminological Logics,,
7,9121,9121,"Code Generation – Concepts, Tools, Techniques",,
8,9124,9124,Randomized Algorithms,,
9,9126,9126,Semantics of Programming Languages and Model Theory,,
10,9127,9127,Geometric Modelling,,
11,9135,9135,Scientific Visualization,,
12,9137,9137,Directions of Future Database Research,,
13,9141,9141,Computational Geometry,,
14,9142,9142,Trends and Applications in Formal Language Theory,,
15,9143,9143,Theorem Proving and Logic Programming with Constraints,,
16,9145,9145,Data Structures,,
17,9149,9149,Efficient Interpolation Algorithms,,
18,9151,9151,Algorithms of Computeralgebra,,
19,9202,9202,Automata Theory: Infinite Computations,,
20,9203,9203,Software Construction – Foundation and Application,,
21,9207,9207,Limits of Modelling with Programmed Machines,,
22,9210,9210,Parallel and Distributed Algorithms,,
23,9215,9215,Distributed Cooperation in Integrated Information Systems,,
24,9229,9229,Computer Science Logic,,
25,9232,9232,"Symbolic, algebraic and validated numerical Computation",,
26,9233,9233,3rd International Workshop on User Modeling,,
27,9235,9235,Complexity and Realization of Boolean Functions,,
28,9237,9237,Molecular Bioinformatics,,
29,9238,9238,Experimental Software Engineering Issues,,
30,9242,9242,Algorithms and Complexity for Continuous Problems,,
31,9245,9245,Multimedia – System Architectures and Applications,,
32,9249,9249,Self-Timed Design,,
33,9301,9301,Graph-Transformations in Computer Science,,
34,9302,9302,Automata Theory: Distributed Models,,
35,9307,9307,Computer Aided Design and Test,,
36,9308,9308,Semantic Formalisms in Natural Language Processing,,
37,9312,9312,Computational Geometry,,
38,9317,9317,Formal Aspects of Object Base Dynamics,,
39,9321,9321,Specification and Semantics,,
40,9323,9323,Semantics of Programming Languages and Algebra,,
41,9328,9328,"""Average-Case""-Analysis of Algorithms",,
42,9329,9329,Interactions between Category Theory and Computer Science,,
43,9334,9334,Automated Practical Reasoning and Argumentation,,
44,9337,9337,Parallel and Distributed Algorithms,,
45,9339,9339,Cryptography,,
46,9406,9406,Algorithms in Automata Theory,,
47,9407,9407,Structure and Complexity,,
48,9409,9409,Data Structures,,
49,9411,9411,Theoretical Foundations of Computer Vision,,
50,9415,9415,"Expander Graphs, Random Graphs and Their Application in Computer Science",,
51,9418,9418,Incremental Computation and Dynamic Algorithms,,
52,9421,9421,Scientific Visualization,,
53,9426,9426,Theory and Praxis of Machine Learning,,
54,9427,9427,Fundamentals and Perspectives of Multimedia Systems,,
55,9438,9438,Interdisciplinary Foundations of Systems Design and Evaluation,,
56,9441,9441,Algorithms and Number Theory,,
57,9442,9442,Algorithms and Complexity for Continuous Problems,,
58,9443,9443,Environment Modelling and Motion Planning for Autonomous Robots,,
59,9445,9445,Neural Computing,,
60,9511,9511,Computational Geometry,,
61,9520,9520,Scheduling in Computer & Manufacturing Systems,,
62,9521,9521,Performance and Dependability Modeling with Stochastic Petri Nets,,
63,9522,9522,Computing with Faulty Inputs,,
64,9523,9523,Methods for Semantics and Specification,,
65,9525,9525,Architecture and Protocols for High Performance Networks,,
66,9528,9528,Molecular Bioinformatics,,
67,9535,9535,Abstract Interpretation,,
68,9537,9537,Parallel and Distributed Algorithms,,
69,9538,9538,New Trends In the Integration of Paradigms,,
70,9539,9539,Applied Stochastic Modelling in Telecommunication and Manufacturing Systems,,
71,9540,9540,Modelling and Simulation of Complex Environmental Problems,,
72,9543,9543,Modelling and Simulation of Gene and Cell Regulation,,
73,9546,9546,"Quantitative Aspects of Designing and Validating Dependable Computing Systems -- Calculations, Measurements, and Simulations",,
74,9606,9606,Computeralgebra – Software,,
75,9610,9610,New Trends in Database Languages,,
